method,model_classes,model_supports,model_planes,model_trained_planes,testing_classes,testing_supports,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_one_rest,6,1,100,True,2,1,True,0.473,0.473,0.473
lsh_one_rest,6,1,100,True,2,5,True,0.517,0.517,0.517
lsh_one_rest,6,1,100,True,2,10,True,0.481,0.481,0.481
lsh_one_rest,6,1,100,True,4,1,True,0.26,0.26,0.26
lsh_one_rest,6,1,100,True,4,5,True,0.242,0.242,0.242
lsh_one_rest,6,1,100,True,4,10,True,0.252,0.252,0.252
lsh_one_rest,6,1,200,False,2,1,True,0.482,0.482,0.482
lsh_one_rest,6,1,200,False,2,5,True,0.486,0.486,0.486
lsh_one_rest,6,1,200,False,2,10,True,0.515,0.515,0.515
lsh_one_rest,6,1,200,False,4,1,True,0.247,0.247,0.247
lsh_one_rest,6,1,200,False,4,5,True,0.261,0.261,0.261
lsh_one_rest,6,1,200,False,4,10,True,0.253,0.253,0.253
lsh_one_rest,6,1,1000,False,2,1,True,0.495,0.495,0.495
lsh_one_rest,6,1,1000,False,2,5,True,0.533,0.533,0.533
lsh_one_rest,6,1,1000,False,2,10,True,0.504,0.504,0.504
lsh_one_rest,6,1,1000,False,4,1,True,0.255,0.255,0.255
lsh_one_rest,6,1,1000,False,4,5,True,0.234,0.234,0.234
lsh_one_rest,6,1,1000,False,4,10,True,0.244,0.244,0.244
lsh_one_rest,6,1,500,False,2,1,True,0.508,0.508,0.508
lsh_one_rest,6,1,500,False,2,5,True,0.494,0.494,0.494
lsh_one_rest,6,1,500,False,2,10,True,0.512,0.512,0.512
lsh_one_rest,6,1,500,False,4,1,True,0.272,0.272,0.272
lsh_one_rest,6,1,500,False,4,5,True,0.24,0.24,0.24
lsh_one_rest,6,1,500,False,4,10,True,0.279,0.279,0.279
lsh_one_rest,6,1,500,True,2,1,True,0.497,0.497,0.497
lsh_one_rest,6,1,500,True,2,5,True,0.499,0.499,0.499
lsh_one_rest,6,1,500,True,2,10,True,0.506,0.506,0.506
lsh_one_rest,6,1,500,True,4,1,True,0.254,0.254,0.254
lsh_one_rest,6,1,500,True,4,5,True,0.26,0.26,0.26
lsh_one_rest,6,1,500,True,4,10,True,0.268,0.268,0.268
lsh_one_rest,6,1,1000,True,2,1,True,0.495,0.495,0.495
lsh_one_rest,6,1,1000,True,2,5,True,0.521,0.521,0.521
lsh_one_rest,6,1,1000,True,2,10,True,0.497,0.497,0.497
lsh_one_rest,6,1,1000,True,4,1,True,0.289,0.289,0.289
lsh_one_rest,6,1,1000,True,4,5,True,0.263,0.263,0.263
lsh_one_rest,6,1,1000,True,4,10,True,0.261,0.261,0.261
lsh_one_rest,6,1,100,False,2,1,True,0.488,0.488,0.488
lsh_one_rest,6,1,100,False,2,5,True,0.483,0.483,0.483
lsh_one_rest,6,1,100,False,2,10,True,0.497,0.497,0.497
lsh_one_rest,6,1,100,False,4,1,True,0.248,0.248,0.248
lsh_one_rest,6,1,100,False,4,5,True,0.256,0.256,0.256
lsh_one_rest,6,1,100,False,4,10,True,0.254,0.254,0.254
lsh_one_rest,6,1,200,True,2,1,True,0.483,0.483,0.483
lsh_one_rest,6,1,200,True,2,5,True,0.491,0.491,0.491
lsh_one_rest,6,1,200,True,2,10,True,0.491,0.491,0.491
lsh_one_rest,6,1,200,True,4,1,True,0.246,0.246,0.246
lsh_one_rest,6,1,200,True,4,5,True,0.247,0.247,0.247
lsh_one_rest,6,1,200,True,4,10,True,0.245,0.245,0.245
lsh_one_rest,6,1,2000,False,2,1,True,0.515,0.515,0.515
lsh_one_rest,6,1,2000,False,2,5,True,0.51,0.51,0.51
lsh_one_rest,6,1,2000,False,2,10,True,0.502,0.502,0.502
lsh_one_rest,6,1,2000,False,4,1,True,0.229,0.229,0.229
lsh_one_rest,6,1,2000,False,4,5,True,0.256,0.256,0.256
lsh_one_rest,6,1,2000,False,4,10,True,0.233,0.233,0.233
lsh_one_rest,6,1,2000,True,2,1,True,0.497,0.497,0.497
lsh_one_rest,6,1,2000,True,2,5,True,0.497,0.497,0.497
lsh_one_rest,6,1,2000,True,2,10,True,0.494,0.494,0.494
lsh_one_rest,6,1,2000,True,4,1,True,0.238,0.238,0.238
lsh_one_rest,6,1,2000,True,4,5,True,0.258,0.258,0.258
lsh_one_rest,6,1,2000,True,4,10,True,0.243,0.243,0.243
lsh_one_rest,6,2,100,False,2,1,True,0.504,0.504,0.504
lsh_one_rest,6,2,100,False,2,5,True,0.511,0.511,0.511
lsh_one_rest,6,2,100,False,2,10,True,0.515,0.515,0.515
lsh_one_rest,6,2,100,False,4,1,True,0.24,0.24,0.24
lsh_one_rest,6,2,100,False,4,5,True,0.251,0.251,0.251
lsh_one_rest,6,2,100,False,4,10,True,0.238,0.238,0.238
lsh_one_rest,6,2,500,True,2,1,True,0.522,0.522,0.522
lsh_one_rest,6,2,500,True,2,5,True,0.509,0.509,0.509
lsh_one_rest,6,2,500,True,2,10,True,0.523,0.523,0.523
lsh_one_rest,6,2,500,True,4,1,True,0.248,0.248,0.248
lsh_one_rest,6,2,500,True,4,5,True,0.211,0.211,0.211
lsh_one_rest,6,2,500,True,4,10,True,0.258,0.258,0.258
lsh_one_rest,6,2,100,True,2,1,True,0.514,0.514,0.514
lsh_one_rest,6,2,100,True,2,5,True,0.51,0.51,0.51
lsh_one_rest,6,2,100,True,2,10,True,0.508,0.508,0.508
lsh_one_rest,6,2,100,True,4,1,True,0.251,0.251,0.251
lsh_one_rest,6,2,100,True,4,5,True,0.253,0.253,0.253
lsh_one_rest,6,2,100,True,4,10,True,0.265,0.265,0.265
lsh_one_rest,6,2,2000,False,2,1,True,0.494,0.494,0.494
lsh_one_rest,6,2,2000,False,2,5,True,0.484,0.484,0.484
lsh_one_rest,6,2,2000,False,2,10,True,0.528,0.528,0.528
lsh_one_rest,6,2,2000,False,4,1,True,0.242,0.242,0.242
lsh_one_rest,6,2,2000,False,4,5,True,0.266,0.266,0.266
lsh_one_rest,6,2,2000,False,4,10,True,0.259,0.259,0.259
lsh_one_rest,6,2,2000,True,2,1,True,0.517,0.517,0.517
lsh_one_rest,6,2,2000,True,2,5,True,0.543,0.543,0.543
lsh_one_rest,6,2,2000,True,2,10,True,0.48,0.48,0.48
lsh_one_rest,6,2,2000,True,4,1,True,0.24,0.24,0.24
lsh_one_rest,6,2,2000,True,4,5,True,0.25,0.25,0.25
lsh_one_rest,6,2,2000,True,4,10,True,0.246,0.246,0.246
lsh_one_rest,6,2,200,False,2,1,True,0.514,0.514,0.514
lsh_one_rest,6,2,200,False,2,5,True,0.499,0.499,0.499
lsh_one_rest,6,2,200,False,2,10,True,0.479,0.479,0.479
lsh_one_rest,6,2,200,False,4,1,True,0.257,0.257,0.257
lsh_one_rest,6,2,200,False,4,5,True,0.27,0.27,0.27
lsh_one_rest,6,2,200,False,4,10,True,0.26,0.26,0.26
lsh_one_rest,6,2,200,True,2,1,True,0.473,0.473,0.473
lsh_one_rest,6,2,200,True,2,5,True,0.511,0.511,0.511
lsh_one_rest,6,2,200,True,2,10,True,0.489,0.489,0.489
lsh_one_rest,6,2,200,True,4,1,True,0.251,0.251,0.251
lsh_one_rest,6,2,200,True,4,5,True,0.218,0.218,0.218
lsh_one_rest,6,2,200,True,4,10,True,0.274,0.274,0.274
lsh_one_rest,6,2,1000,True,2,1,True,0.495,0.495,0.495
lsh_one_rest,6,2,1000,True,2,5,True,0.532,0.532,0.532
lsh_one_rest,6,2,1000,True,2,10,True,0.47,0.47,0.47
lsh_one_rest,6,2,1000,True,4,1,True,0.271,0.271,0.271
lsh_one_rest,6,2,1000,True,4,5,True,0.261,0.261,0.261
lsh_one_rest,6,2,1000,True,4,10,True,0.232,0.232,0.232
lsh_one_rest,6,2,500,False,2,1,True,0.468,0.468,0.468
lsh_one_rest,6,2,500,False,2,5,True,0.498,0.498,0.498
lsh_one_rest,6,2,500,False,2,10,True,0.505,0.505,0.505
lsh_one_rest,6,2,500,False,4,1,True,0.233,0.233,0.233
lsh_one_rest,6,2,500,False,4,5,True,0.268,0.268,0.268
lsh_one_rest,6,2,500,False,4,10,True,0.25,0.25,0.25
lsh_one_rest,6,2,1000,False,2,1,True,0.496,0.496,0.496
lsh_one_rest,6,2,1000,False,2,5,True,0.51,0.51,0.51
lsh_one_rest,6,2,1000,False,2,10,True,0.501,0.501,0.501
lsh_one_rest,6,2,1000,False,4,1,True,0.261,0.261,0.261
lsh_one_rest,6,2,1000,False,4,5,True,0.267,0.267,0.267
lsh_one_rest,6,2,1000,False,4,10,True,0.258,0.258,0.258
lsh_one_rest,6,5,200,False,2,1,True,0.502,0.502,0.502
lsh_one_rest,6,5,200,False,2,5,True,0.502,0.502,0.502
lsh_one_rest,6,5,200,False,2,10,True,0.494,0.494,0.494
lsh_one_rest,6,5,200,False,4,1,True,0.228,0.228,0.228
lsh_one_rest,6,5,200,False,4,5,True,0.255,0.255,0.255
lsh_one_rest,6,5,200,False,4,10,True,0.236,0.236,0.236
lsh_one_rest,6,5,500,True,2,1,True,0.493,0.493,0.493
lsh_one_rest,6,5,500,True,2,5,True,0.505,0.505,0.505
lsh_one_rest,6,5,500,True,2,10,True,0.498,0.498,0.498
lsh_one_rest,6,5,500,True,4,1,True,0.252,0.252,0.252
lsh_one_rest,6,5,500,True,4,5,True,0.251,0.251,0.251
lsh_one_rest,6,5,500,True,4,10,True,0.231,0.231,0.231
lsh_one_rest,6,5,100,True,2,1,True,0.502,0.502,0.502
lsh_one_rest,6,5,100,True,2,5,True,0.526,0.526,0.526
lsh_one_rest,6,5,100,True,2,10,True,0.521,0.521,0.521
lsh_one_rest,6,5,100,True,4,1,True,0.256,0.256,0.256
lsh_one_rest,6,5,100,True,4,5,True,0.258,0.258,0.258
lsh_one_rest,6,5,100,True,4,10,True,0.275,0.275,0.275
lsh_one_rest,6,5,500,False,2,1,True,0.512,0.512,0.512
lsh_one_rest,6,5,500,False,2,5,True,0.532,0.532,0.532
lsh_one_rest,6,5,500,False,2,10,True,0.485,0.485,0.485
lsh_one_rest,6,5,500,False,4,1,True,0.257,0.257,0.257
lsh_one_rest,6,5,500,False,4,5,True,0.243,0.243,0.243
lsh_one_rest,6,5,500,False,4,10,True,0.252,0.252,0.252
lsh_one_rest,6,5,1000,False,2,1,True,0.5,0.5,0.5
lsh_one_rest,6,5,1000,False,2,5,True,0.522,0.522,0.522
lsh_one_rest,6,5,1000,False,2,10,True,0.478,0.478,0.478
lsh_one_rest,6,5,1000,False,4,1,True,0.274,0.274,0.274
lsh_one_rest,6,5,1000,False,4,5,True,0.256,0.256,0.256
lsh_one_rest,6,5,1000,False,4,10,True,0.251,0.251,0.251
lsh_one_rest,6,5,1000,True,2,1,True,0.523,0.523,0.523
lsh_one_rest,6,5,1000,True,2,5,True,0.497,0.497,0.497
lsh_one_rest,6,5,1000,True,2,10,True,0.527,0.527,0.527
lsh_one_rest,6,5,1000,True,4,1,True,0.264,0.264,0.264
lsh_one_rest,6,5,1000,True,4,5,True,0.258,0.258,0.258
lsh_one_rest,6,5,1000,True,4,10,True,0.231,0.231,0.231
lsh_one_rest,6,5,2000,True,2,1,True,0.499,0.499,0.499
lsh_one_rest,6,5,2000,True,2,5,True,0.515,0.515,0.515
lsh_one_rest,6,5,2000,True,2,10,True,0.498,0.498,0.498
lsh_one_rest,6,5,2000,True,4,1,True,0.249,0.249,0.249
lsh_one_rest,6,5,2000,True,4,5,True,0.255,0.255,0.255
lsh_one_rest,6,5,2000,True,4,10,True,0.258,0.258,0.258
lsh_one_rest,6,5,100,False,2,1,True,0.503,0.503,0.503
lsh_one_rest,6,5,100,False,2,5,True,0.503,0.503,0.503
lsh_one_rest,6,5,100,False,2,10,True,0.517,0.517,0.517
lsh_one_rest,6,5,100,False,4,1,True,0.239,0.239,0.239
lsh_one_rest,6,5,100,False,4,5,True,0.248,0.248,0.248
lsh_one_rest,6,5,100,False,4,10,True,0.246,0.246,0.246
lsh_one_rest,6,5,200,True,2,1,True,0.5,0.5,0.5
lsh_one_rest,6,5,200,True,2,5,True,0.476,0.476,0.476
lsh_one_rest,6,5,200,True,2,10,True,0.509,0.509,0.509
lsh_one_rest,6,5,200,True,4,1,True,0.286,0.286,0.286
lsh_one_rest,6,5,200,True,4,5,True,0.247,0.247,0.247
lsh_one_rest,6,5,200,True,4,10,True,0.277,0.277,0.277
lsh_one_rest,6,5,2000,False,2,1,True,0.505,0.505,0.505
lsh_one_rest,6,5,2000,False,2,5,True,0.511,0.511,0.511
lsh_one_rest,6,5,2000,False,2,10,True,0.477,0.477,0.477
lsh_one_rest,6,5,2000,False,4,1,True,0.24,0.24,0.24
lsh_one_rest,6,5,2000,False,4,5,True,0.256,0.256,0.256
lsh_one_rest,6,5,2000,False,4,10,True,0.257,0.257,0.257
